-----------------------
|    |   H   |   W    |
-----------------------
| 0  | 65.78 | 112.99 |
| 1  | 71.52 | 136.49 |
| 2  | 69.4  | 153.03 |
| 3  | 68.22 | 142.34 |
| 4  | 67.79 | 144.3  |
| 5  | 68.7  | 123.3  |
| 6  | 69.8  | 141.49 |
| 7  | 70.01 | 136.46 |
| 8  | 67.9  | 112.37 |
| 9  | 66.78 | 120.67 |
| 10 | NaN   | 127.45 |
| 11 | 67.62 | 114.14 |
| 12 | 68.3  | 125.61 |
| 13 | 67.12 | 122.46 |
| 14 | 68.28 | 116.09 |
| 15 | 71.09 | 140.0  |
| 16 | 66.46 | 129.5  |
| 17 | 68.65 | 142.97 |
| 18 | 71.23 | 137.9  |
| 19 | 67.13 | NaN    |
| 20 | 67.83 | 141.28 |
| 21 | 68.88 | 143.54 |
| 22 | 63.48 | 97.9   |
| 23 | 68.42 | 129.5  |
| 24 | 67.63 | 141.85 |
| 25 | 67.21 | 129.72 |
| 26 | 70.84 | 142.42 |
| 27 | 67.49 | 131.55 |
| 28 | 66.53 | 108.33 |
| 29 | 65.44 | 113.89 |
| 30 | 69.52 | 103.3  |
| 31 | 65.81 | 120.75 |
| 32 | NaN   | 125.79 |
-----------------------
