==============    
    H | W
==============
65.78 | 112.99
71.52 | 136.49
69.4  | 153.03
68.22 | 142.34
67.79 | 144.3
68.7  | 123.3
69.8  | 141.49
70.01 | 136.46
67.9  | 112.37
66.78 | 120.67
66.49 | 127.45
67.62 | 114.14
68.3  | 125.61
67.12 | 122.46
68.28 | 116.09
71.09 | 140.0
66.46 | 129.5
68.65 | 142.97
71.23 | 137.9
67.13 | 124.04
67.83 | 141.28
68.88 | 143.54
63.48 | 97.9
68.42 | 129.5
67.63 | 141.85
67.21 | 129.72
70.84 | 142.42
67.49 | 131.55
66.53 | 108.33
65.44 | 113.89
69.52 | 103.3

>>>>>>>>>>>>>>>>

65.28 | 
73.83 | 
66.81 | 
66.89 | 
65.74 | 
65.98 | 
66.58 | 
67.11 | 
65.87 | 
66.78 | 
68.74 | 
66.23 | 
65.96 | 
68.58 | 
66.59 | 
66.97 | 
